error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-678 s32] best=33282.79 (+-188.13 vs bank) it=93 acc=93 [20s]
[E-678 s32] best=33283.48 (+-187.44 vs bank) it=94 acc=94 [20s]
[E-678 s32] best=33288.94 (+-181.98 vs bank) it=96 acc=96 [20s]
[E-678 s32] best=33289.75 (+-181.17 vs bank) it=99 acc=99 [21s]
[E-678 s32] it=100 cur=33289.75 best=33289.75 [21s]
[E-678 s32] best=33290.83 (+-180.09 vs bank) it=102 acc=102 [21s]
[E-678 s32] best=33291.63 (+-179.29 vs bank) it=106 acc=106 [22s]
[E-678 s32] best=33294.26 (+-176.66 vs bank) it=113 acc=113 [24s]
[E-678 s32] best=33295.22 (+-175.70 vs bank) it=114 acc=114 [24s]
[E-678 s32] best=33297.90 (+-173.02 vs bank) it=115 acc=115 [24s]
[E-678 s32] best=33299.01 (+-171.91 vs bank) it=117 acc=117 [25s]
[E-678 s32] best=33301.58 (+-169.34 vs bank) it=121 acc=121 [25s]
[E-678 s32] best=33301.62 (+-169.30 vs bank) it=122 acc=122 [26s]
[E-678 s32] best=33304.64 (+-166.28 vs bank) it=123 acc=123 [26s]
[E-678 s32] best=33304.96 (+-165.96 vs bank) it=125 acc=125 [26s]
[E-678 s32] best=33305.06 (+-165.86 vs bank) it=127 acc=127 [27s]
[E-678 s32] best=33305.19 (+-165.72 vs bank) it=135 acc=135 [28s]
[E-678 s32] best=33305.21 (+-165.71 vs bank) it=146 acc=146 [31s]
[E-678 s32] best=33306.29 (+-164.63 vs bank) it=148 acc=148 [31s]
[E-678 s32] best=33306.39 (+-164.53 vs bank) it=156 acc=156 [33s]
[E-678 s32] best=33307.30 (+-163.62 vs bank) it=171 acc=171 [36s]
[E-678 s32] best=33308.87 (+-162.05 vs bank) it=173 acc=173 [36s]
[E-678 s32] best=33309.80 (+-161.12 vs bank) it=181 acc=181 [38s]
[E-678 s32] best=33310.73 (+-160.19 vs bank) it=183 acc=183 [39s]
[E-678 s32] best=33312.19 (+-158.73 vs bank) it=184 acc=184 [39s]
[E-678 s32] best=33313.29 (+-157.63 vs bank) it=192 acc=192 [40s]
[E-678 s32] it=200 cur=33313.29 best=33313.29 [42s]
[E-678 s32] best=33313.68 (+-157.24 vs bank) it=204 acc=204 [43s]
[E-678 s32] best=33314.32 (+-156.60 vs bank) it=206 acc=206 [43s]
[E-678 s32] best=33316.69 (+-154.23 vs bank) it=219 acc=219 [46s]
[E-678 s32] best=33316.82 (+-154.10 vs bank) it=223 acc=223 [47s]
[E-678 s32] best=33324.71 (+-146.21 vs bank) it=227 acc=227 [47s]
[E-678 s32] best=33325.99 (+-144.93 vs bank) it=228 acc=228 [48s]
[E-678 s32] best=33327.53 (+-143.39 vs bank) it=235 acc=235 [49s]
[E-678 s32] best=33327.54 (+-143.38 vs bank) it=239 acc=239 [50s]
[E-678 s32] best=33327.57 (+-143.35 vs bank) it=240 acc=240 [50s]
[E-678 s32] best=33330.01 (+-140.91 vs bank) it=249 acc=249 [52s]
[E-678 s32] best=33330.05 (+-140.87 vs bank) it=252 acc=252 [52s]
[E-678 s32] best=33331.66 (+-139.26 vs bank) it=254 acc=254 [53s]
[E-678 s32] best=33332.65 (+-138.27 vs bank) it=260 acc=260 [54s]
[E-678 s32] best=33332.86 (+-138.06 vs bank) it=261 acc=261 [54s]
[E-678 s32] best=33335.18 (+-135.74 vs bank) it=267 acc=267 [55s]
[E-678 s32] best=33336.69 (+-134.23 vs bank) it=271 acc=271 [56s]
[E-678 s32] best=33338.35 (+-132.57 vs bank) it=294 acc=294 [61s]
[E-678 s32] it=300 cur=33338.35 best=33338.35 [62s]
[E-678 s32] best=33338.35 (+-132.57 vs bank) it=344 acc=344 [71s]
[E-678 s32] best=33340.07 (+-130.85 vs bank) it=345 acc=345 [71s]
[E-678 s32] it=400 cur=33340.07 best=33340.07 [83s]
[E-678 s32] best=33341.33 (+-129.59 vs bank) it=453 acc=453 [94s]
[E-678 s32] best=33341.45 (+-129.47 vs bank) it=494 acc=494 [102s]
[E-678 s32] it=500 cur=33341.45 best=33341.45 [103s]
[E-678 s32] best=33341.49 (+-129.43 vs bank) it=524 acc=524 [109s]
[E-678 s32] best=33341.86 (+-129.06 vs bank) it=535 acc=535 [111s]
[E-678 s32] best=33342.01 (+-128.91 vs bank) it=573 acc=573 [119s]
[E-678 s32] best=33344.79 (+-126.13 vs bank) it=598 acc=598 [124s]
[E-678 s32] it=600 cur=33344.79 best=33344.79 [124s]
[E-678 s32] best=33345.39 (+-125.53 vs bank) it=606 acc=606 [125s]
[E-678 s32] best=33345.58 (+-125.33 vs bank) it=612 acc=612 [126s]
[E-678 s32] best=33346.15 (+-124.77 vs bank) it=627 acc=627 [129s]
[E-678 s32] best=33346.85 (+-124.07 vs bank) it=630 acc=630 [130s]
[E-678 s32] best=33346.97 (+-123.95 vs bank) it=633 acc=633 [131s]
[E-678 s32] best=33348.13 (+-122.79 vs bank) it=655 acc=655 [136s]
[E-678 s32] best=33349.17 (+-121.75 vs bank) it=656 acc=656 [136s]
[E-678 s32] best=33353.42 (+-117.50 vs bank) it=669 acc=669 [139s]
[E-678 s32] best=33353.79 (+-117.13 vs bank) it=673 acc=673 [139s]
[E-678 s32] best=33354.80 (+-116.12 vs bank) it=680 acc=680 [141s]
[E-678 s32] it=700 cur=33354.80 best=33354.80 [145s]
[E-678 s32] best=33355.40 (+-115.52 vs bank) it=739 acc=739 [153s]
[E-678 s32] it=800 cur=33355.40 best=33355.40 [165s]
[E-678 s32] best=33356.60 (+-114.32 vs bank) it=816 acc=816 [168s]
[E-678 s32] best=33357.63 (+-113.29 vs bank) it=827 acc=827 [171s]
[E-678 s32] best=33358.22 (+-112.70 vs bank) it=858 acc=858 [177s]
[E-678 s32] best=33358.98 (+-111.94 vs bank) it=875 acc=875 [180s]
[E-678 s32] best=33360.78 (+-110.14 vs bank) it=876 acc=876 [180s]
[E-678 s32] best=33361.53 (+-109.39 vs bank) it=881 acc=881 [181s]
[E-678 s32] best=33361.71 (+-109.21 vs bank) it=883 acc=883 [181s]
[E-678 s32] best=33363.20 (+-107.72 vs bank) it=885 acc=885 [182s]
[E-678 s32] best=33364.65 (+-106.27 vs bank) it=892 acc=892 [183s]
[E-678 s32] best=33366.36 (+-104.56 vs bank) it=900 acc=900 [185s]
[E-678 s32] it=900 cur=33366.36 best=33366.36 [185s]
[E-678 s32] best=33366.97 (+-103.95 vs bank) it=922 acc=922 [189s]
[E-678 s32] it=1000 cur=33366.97 best=33366.97 [204s]
[E-678 s32] best=33368.53 (+-102.39 vs bank) it=1062 acc=1062 [216s]
[E-678 s32] best=33368.65 (+-102.27 vs bank) it=1063 acc=1063 [216s]
[E-678 s32] best=33368.92 (+-102.00 vs bank) it=1095 acc=1095 [222s]
[E-678 s32] it=1100 cur=33368.92 best=33368.92 [223s]
[E-678 s32] it=1200 cur=33368.92 best=33368.92 [242s]
[E-678 s32] it=1300 cur=33368.92 best=33368.92 [261s]
[E-678 s32] it=1400 cur=33275.86 best=33368.92 [281s]
[E-678 s32] it=1500 cur=33320.33 best=33368.92 [301s]
[E-678 s32] it=1600 cur=32671.24 best=33368.92 [321s]
[E-678 s32] it=1700 cur=33328.36 best=33368.92 [341s]
[E-678 s32] it=1800 cur=33334.58 best=33368.92 [361s]
[E-678 s32] it=1900 cur=33281.44 best=33368.92 [381s]
[E-678 s32] it=2000 cur=33324.72 best=33368.92 [400s]
[E-678 s32] it=2100 cur=32383.46 best=33368.92 [419s]
[E-678 s32] it=2200 cur=33288.22 best=33368.92 [439s]
[E-678 s32] it=2300 cur=33304.32 best=33368.92 [459s]
[E-678 s32] it=2400 cur=33225.61 best=33368.92 [479s]
[E-678 s32] it=2500 cur=33290.14 best=33368.92 [498s]
[E-678 s32] it=2600 cur=33313.14 best=33368.92 [518s]
[E-678 s32] it=2700 cur=33352.81 best=33368.92 [538s]
[E-678 s32] it=2800 cur=33356.47 best=33368.92 [557s]
[E-678 s32] it=2900 cur=33238.61 best=33368.92 [577s]
[E-678 s32] it=3000 cur=33301.88 best=33368.92 [597s]
[E-678 s32] it=3100 cur=33348.75 best=33368.92 [615s]
[E-678 s32] it=3200 cur=33322.23 best=33368.92 [636s]
[E-678 s32] it=3300 cur=33349.20 best=33368.92 [655s]
[E-678 s32] it=3400 cur=33307.46 best=33368.92 [675s]
[E-678 s32] it=3500 cur=33335.98 best=33368.92 [694s]
[E-678 s32] it=3600 cur=33336.18 best=33368.92 [713s]
[E-678 s32] it=3700 cur=33306.48 best=33368.92 [733s]
[E-678 s32] it=3800 cur=33346.37 best=33368.92 [753s]
[E-678 s32] it=3900 cur=33224.65 best=33368.92 [772s]
[E-678 s32] it=4000 cur=33318.82 best=33368.92 [791s]
[E-678 s32] it=4100 cur=33324.83 best=33368.92 [811s]
[E-678 s32] it=4200 cur=33289.40 best=33368.92 [831s]
[E-678 s32] it=4300 cur=33340.20 best=33368.92 [851s]
[E-678 s32] it=4400 cur=33195.81 best=33368.92 [871s]
[E-678 s32] it=4500 cur=33265.27 best=33368.92 [891s]
[E-678 s32] it=4600 cur=33282.87 best=33368.92 [910s]
[E-678 s32] it=4700 cur=33292.77 best=33368.92 [930s]
[E-678 s32] it=4800 cur=33311.45 best=33368.92 [950s]
[E-678 s32] it=4900 cur=33185.62 best=33368.92 [970s]
[E-678 s32] it=5000 cur=33305.50 best=33368.92 [990s]
[E-678 s32] it=5100 cur=33331.80 best=33368.92 [1010s]
[E-678 s32] it=5200 cur=33308.50 best=33368.92 [1030s]
[E-678 s32] it=5300 cur=33331.66 best=33368.92 [1050s]
[E-678 s32] it=5400 cur=33211.10 best=33368.92 [1070s]
[E-678 s32] it=5500 cur=33319.09 best=33368.92 [1090s]
[E-678 s32] it=5600 cur=33355.28 best=33368.92 [1109s]
[E-678 s32] it=5700 cur=33277.55 best=33368.92 [1130s]
[E-678 s32] it=5800 cur=33306.31 best=33368.92 [1149s]
[E-678 s32] it=5900 cur=33187.38 best=33368.92 [1169s]
[E-678 s32] it=6000 cur=33299.05 best=33368.92 [1189s]
[E-678 s32] it=6100 cur=33321.80 best=33368.92 [1208s]
[E-678 s32] it=6200 cur=33312.45 best=33368.92 [1229s]
[E-678 s32] it=6300 cur=33350.02 best=33368.92 [1248s]
[E-678 s32] it=6400 cur=33219.29 best=33368.92 [1268s]
[E-678 s32] it=6500 cur=33296.63 best=33368.92 [1288s]
[E-678 s32] it=6600 cur=33308.75 best=33368.92 [1307s]
[E-678 s32] it=6700 cur=33270.47 best=33368.92 [1328s]
[E-678 s32] it=6800 cur=33313.14 best=33368.92 [1347s]
[E-678 s32] it=6900 cur=33208.79 best=33368.92 [1367s]
[E-678 s32] it=7000 cur=33327.79 best=33368.92 [1387s]
[E-678 s32] it=7100 cur=33347.97 best=33368.92 [1407s]
[E-678 s32] it=7200 cur=33246.46 best=33368.92 [1427s]
[E-678 s32] it=7300 cur=33294.60 best=33368.92 [1447s]
[E-678 s32] it=7400 cur=33222.82 best=33368.92 [1467s]
[E-678 s32] it=7500 cur=33312.22 best=33368.92 [1487s]
[E-678 s32] it=7600 cur=33323.35 best=33368.92 [1506s]
[E-678 s32] it=7700 cur=33318.46 best=33368.92 [1526s]
[E-678 s32] it=7800 cur=33343.03 best=33368.92 [1546s]
[E-678 s32] it=7900 cur=33147.65 best=33368.92 [1566s]
[E-678 s32] DONE best=33368.92 (+-102.00 vs bank) [1586s]
