error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-678 s401] LP-rounded start=69503.05 sel=8589 | bank=73253.48 leader=73714.03 | random-destroy 0.5
[E-678 s401] best=70061.24 (+-3192.24 vs bank) it=2 acc=2 [30s]
[E-678 s401] best=70272.75 (+-2980.73 vs bank) it=3 acc=3 [40s]
[E-678 s401] best=71168.76 (+-2084.72 vs bank) it=5 acc=5 [62s]
[E-678 s401] best=72007.24 (+-1246.24 vs bank) it=6 acc=6 [71s]
[E-678 s401] best=72153.17 (+-1100.31 vs bank) it=7 acc=7 [77s]
[E-678 s401] best=72230.16 (+-1023.32 vs bank) it=8 acc=8 [81s]
[E-678 s401] best=72298.78 (+-954.70 vs bank) it=9 acc=9 [85s]
[E-678 s401] best=72350.27 (+-903.21 vs bank) it=10 acc=10 [88s]
[E-678 s401] best=72404.88 (+-848.60 vs bank) it=11 acc=11 [91s]
[E-678 s401] best=72437.41 (+-816.07 vs bank) it=12 acc=12 [94s]
[E-678 s401] best=72484.77 (+-768.71 vs bank) it=13 acc=13 [97s]
[E-678 s401] best=72515.62 (+-737.85 vs bank) it=14 acc=14 [102s]
[E-678 s401] best=72538.74 (+-714.74 vs bank) it=15 acc=15 [105s]
[E-678 s401] best=72564.86 (+-688.62 vs bank) it=16 acc=16 [108s]
[E-678 s401] best=72588.53 (+-664.95 vs bank) it=17 acc=17 [111s]
[E-678 s401] best=72605.45 (+-648.03 vs bank) it=18 acc=18 [113s]
[E-678 s401] best=72633.26 (+-620.22 vs bank) it=19 acc=19 [116s]
[E-678 s401] best=72640.17 (+-613.31 vs bank) it=20 acc=20 [119s]
[E-678 s401] best=72650.29 (+-603.19 vs bank) it=21 acc=21 [122s]
[E-678 s401] best=72657.54 (+-595.94 vs bank) it=22 acc=22 [125s]
[E-678 s401] best=72669.80 (+-583.68 vs bank) it=23 acc=23 [128s]
[E-678 s401] best=72675.58 (+-577.90 vs bank) it=24 acc=24 [131s]
[E-678 s401] best=72686.60 (+-566.88 vs bank) it=25 acc=25 [134s]
[E-678 s401] best=72699.43 (+-554.05 vs bank) it=26 acc=26 [137s]
[E-678 s401] best=72706.30 (+-547.18 vs bank) it=27 acc=27 [142s]
