[ii] n=92103 bank=72204.2930 mode=multi target=4000 block_time=60.0s seed=11
[r710] best=72204.2930 gains=0 lat=0 region~3973 free~592 t=22s status=OPTIMAL
[r720] best=72204.2930 gains=0 lat=0 region~3949 free~612 t=23s status=OPTIMAL
[r730] best=72204.2930 gains=0 lat=0 region~3945 free~601 t=23s status=OPTIMAL
[r740] best=72204.2930 gains=0 lat=0 region~3962 free~615 t=23s status=OPTIMAL
[r750] best=72204.2930 gains=0 lat=0 region~3956 free~599 t=24s status=OPTIMAL
[r760] best=72204.2930 gains=0 lat=0 region~3922 free~597 t=24s status=OPTIMAL
[r770] best=72204.2930 gains=0 lat=0 region~3939 free~594 t=24s status=OPTIMAL
[r780] best=72204.2930 gains=0 lat=0 region~3968 free~580 t=25s status=OPTIMAL
[r790] best=72204.2930 gains=0 lat=0 region~3980 free~607 t=25s status=OPTIMAL
[r800] best=72204.2930 gains=0 lat=0 region~3973 free~618 t=25s status=OPTIMAL
[r810] best=72204.2930 gains=0 lat=0 region~3961 free~593 t=26s status=OPTIMAL
[r820] best=72204.2930 gains=0 lat=0 region~3967 free~588 t=26s status=OPTIMAL
[r830] best=72204.2930 gains=0 lat=0 region~3970 free~583 t=26s status=OPTIMAL
[r840] best=72204.2930 gains=0 lat=0 region~3950 free~607 t=27s status=OPTIMAL
[r850] best=72204.2930 gains=0 lat=0 region~3960 free~610 t=27s status=OPTIMAL
[r860] best=72204.2930 gains=0 lat=0 region~3959 free~600 t=27s status=OPTIMAL
[r870] best=72204.2930 gains=0 lat=0 region~3961 free~623 t=27s status=OPTIMAL
[r880] best=72204.2930 gains=0 lat=0 region~3933 free~588 t=28s status=OPTIMAL
[r890] best=72204.2930 gains=0 lat=0 region~3950 free~577 t=28s status=OPTIMAL
[r900] best=72204.2930 gains=0 lat=0 region~3965 free~596 t=28s status=OPTIMAL
[r910] best=72204.2930 gains=0 lat=0 region~3953 free~575 t=29s status=OPTIMAL
[r920] best=72204.2930 gains=0 lat=0 region~3971 free~597 t=29s status=OPTIMAL
[r930] best=72204.2930 gains=0 lat=0 region~3949 free~600 t=29s status=OPTIMAL
[r940] best=72204.2930 gains=0 lat=0 region~3972 free~598 t=30s status=OPTIMAL
[r950] best=72204.2930 gains=0 lat=0 region~3934 free~604 t=30s status=OPTIMAL
[r960] best=72204.2930 gains=0 lat=0 region~3971 free~623 t=30s status=OPTIMAL
[r970] best=72204.2930 gains=0 lat=0 region~3963 free~601 t=31s status=OPTIMAL
[r980] best=72204.2930 gains=0 lat=0 region~3978 free~603 t=31s status=OPTIMAL
[r990] best=72204.2930 gains=0 lat=0 region~3927 free~628 t=31s status=OPTIMAL
[r1000] best=72204.2930 gains=0 lat=0 region~3930 free~591 t=32s status=OPTIMAL
[r1010] best=72204.2930 gains=0 lat=0 region~3918 free~598 t=32s status=OPTIMAL
[r1020] best=72204.2930 gains=0 lat=0 region~3968 free~615 t=32s status=OPTIMAL
[r1030] best=72204.2930 gains=0 lat=0 region~3946 free~604 t=33s status=OPTIMAL
[r1040] best=72204.2930 gains=0 lat=0 region~3962 free~597 t=33s status=OPTIMAL
[r1050] best=72204.2930 gains=0 lat=0 region~3979 free~590 t=33s status=OPTIMAL
[r1060] best=72204.2930 gains=0 lat=0 region~3935 free~599 t=33s status=OPTIMAL
[r1070] best=72204.2930 gains=0 lat=0 region~3957 free~603 t=34s status=OPTIMAL
[r1080] best=72204.2930 gains=0 lat=0 region~3952 free~601 t=34s status=OPTIMAL
[r1090] best=72204.2930 gains=0 lat=0 region~3951 free~594 t=34s status=OPTIMAL
[r1100] best=72204.2930 gains=0 lat=0 region~3966 free~609 t=35s status=OPTIMAL
[r1110] best=72204.2930 gains=0 lat=0 region~3962 free~598 t=35s status=OPTIMAL
[r1120] best=72204.2930 gains=0 lat=0 region~3954 free~592 t=35s status=OPTIMAL
[r1130] best=72204.2930 gains=0 lat=0 region~3971 free~583 t=36s status=OPTIMAL
[r1140] best=72204.2930 gains=0 lat=0 region~3975 free~590 t=36s status=OPTIMAL
[r1150] best=72204.2930 gains=0 lat=0 region~3924 free~623 t=36s status=OPTIMAL
[r1160] best=72204.2930 gains=0 lat=0 region~3956 free~615 t=37s status=OPTIMAL
[r1170] best=72204.2930 gains=0 lat=0 region~3929 free~594 t=37s status=OPTIMAL
[r1180] best=72204.2930 gains=0 lat=0 region~3962 free~603 t=37s status=OPTIMAL
[r1190] best=72204.2930 gains=0 lat=0 region~3938 free~593 t=38s status=OPTIMAL
