error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-678 s421] best=72519.80 (+-733.68 vs bank) it=78 acc=78 [38s]
[E-678 s421] best=72520.85 (+-732.63 vs bank) it=80 acc=80 [39s]
[E-678 s421] best=72521.01 (+-732.47 vs bank) it=81 acc=81 [40s]
[E-678 s421] best=72524.62 (+-728.86 vs bank) it=82 acc=82 [40s]
[E-678 s421] best=72525.33 (+-728.15 vs bank) it=83 acc=83 [41s]
[E-678 s421] best=72525.67 (+-727.81 vs bank) it=84 acc=84 [41s]
[E-678 s421] best=72528.04 (+-725.44 vs bank) it=85 acc=85 [42s]
[E-678 s421] best=72535.87 (+-717.61 vs bank) it=86 acc=86 [42s]
[E-678 s421] best=72538.68 (+-714.80 vs bank) it=89 acc=89 [44s]
[E-678 s421] best=72539.33 (+-714.15 vs bank) it=90 acc=90 [44s]
[E-678 s421] best=72547.90 (+-705.58 vs bank) it=91 acc=91 [44s]
[E-678 s421] best=72549.04 (+-704.44 vs bank) it=92 acc=92 [45s]
[E-678 s421] best=72553.89 (+-699.59 vs bank) it=93 acc=93 [45s]
[E-678 s421] best=72559.46 (+-694.02 vs bank) it=94 acc=94 [46s]
[E-678 s421] best=72564.02 (+-689.46 vs bank) it=95 acc=95 [46s]
[E-678 s421] best=72566.28 (+-687.20 vs bank) it=96 acc=96 [47s]
[E-678 s421] best=72572.05 (+-681.43 vs bank) it=97 acc=97 [47s]
[E-678 s421] best=72583.32 (+-670.16 vs bank) it=98 acc=98 [48s]
[E-678 s421] best=72587.41 (+-666.07 vs bank) it=99 acc=99 [48s]
[E-678 s421] best=72589.20 (+-664.28 vs bank) it=100 acc=100 [48s]
[E-678 s421] it=100 cur=72589.20 best=72589.20 [48s]
[E-678 s421] best=72591.52 (+-661.96 vs bank) it=103 acc=103 [50s]
[E-678 s421] best=72593.24 (+-660.24 vs bank) it=104 acc=104 [50s]
[E-678 s421] best=72593.58 (+-659.90 vs bank) it=107 acc=107 [52s]
[E-678 s421] best=72594.98 (+-658.50 vs bank) it=109 acc=109 [53s]
[E-678 s421] best=72596.67 (+-656.81 vs bank) it=112 acc=112 [54s]
[E-678 s421] best=72597.69 (+-655.79 vs bank) it=114 acc=114 [55s]
[E-678 s421] best=72598.15 (+-655.33 vs bank) it=120 acc=120 [57s]
[E-678 s421] best=72599.88 (+-653.60 vs bank) it=121 acc=121 [58s]
[E-678 s421] best=72600.70 (+-652.78 vs bank) it=122 acc=122 [58s]
[E-678 s421] best=72602.19 (+-651.29 vs bank) it=123 acc=123 [58s]
[E-678 s421] best=72602.99 (+-650.49 vs bank) it=125 acc=125 [59s]
[E-678 s421] best=72605.17 (+-648.31 vs bank) it=128 acc=128 [60s]
[E-678 s421] best=72606.28 (+-647.20 vs bank) it=129 acc=129 [61s]
[E-678 s421] best=72607.17 (+-646.31 vs bank) it=130 acc=130 [61s]
[E-678 s421] best=72607.44 (+-646.04 vs bank) it=135 acc=135 [63s]
[E-678 s421] best=72607.72 (+-645.76 vs bank) it=137 acc=137 [64s]
[E-678 s421] best=72607.87 (+-645.61 vs bank) it=138 acc=138 [65s]
[E-678 s421] best=72608.05 (+-645.43 vs bank) it=141 acc=141 [66s]
[E-678 s421] best=72608.46 (+-645.02 vs bank) it=142 acc=142 [67s]
[E-678 s421] best=72609.24 (+-644.24 vs bank) it=143 acc=143 [67s]
[E-678 s421] best=72612.91 (+-640.57 vs bank) it=144 acc=144 [68s]
[E-678 s421] best=72617.25 (+-636.23 vs bank) it=147 acc=147 [69s]
[E-678 s421] best=72618.29 (+-635.18 vs bank) it=149 acc=149 [70s]
[E-678 s421] best=72619.09 (+-634.39 vs bank) it=150 acc=150 [70s]
[E-678 s421] best=72621.61 (+-631.87 vs bank) it=151 acc=151 [71s]
[E-678 s421] best=72622.28 (+-631.20 vs bank) it=153 acc=153 [72s]
[E-678 s421] best=72624.78 (+-628.70 vs bank) it=154 acc=154 [72s]
[E-678 s421] best=72624.98 (+-628.50 vs bank) it=156 acc=156 [73s]
[E-678 s421] best=72628.72 (+-624.76 vs bank) it=157 acc=157 [74s]
[E-678 s421] best=72629.10 (+-624.38 vs bank) it=161 acc=161 [75s]
[E-678 s421] best=72629.44 (+-624.04 vs bank) it=170 acc=170 [80s]
[E-678 s421] best=72630.66 (+-622.82 vs bank) it=171 acc=171 [80s]
[E-678 s421] best=72631.95 (+-621.53 vs bank) it=172 acc=172 [80s]
[E-678 s421] best=72638.21 (+-615.27 vs bank) it=173 acc=173 [81s]
[E-678 s421] best=72639.00 (+-614.48 vs bank) it=174 acc=174 [81s]
[E-678 s421] best=72639.36 (+-614.12 vs bank) it=176 acc=176 [82s]
[E-678 s421] best=72640.38 (+-613.10 vs bank) it=180 acc=180 [84s]
[E-678 s421] best=72641.57 (+-611.91 vs bank) it=181 acc=181 [84s]
[E-678 s421] best=72642.00 (+-611.48 vs bank) it=182 acc=182 [85s]
[E-678 s421] best=72642.71 (+-610.77 vs bank) it=184 acc=184 [86s]
[E-678 s421] best=72644.52 (+-608.96 vs bank) it=185 acc=185 [86s]
[E-678 s421] best=72647.42 (+-606.06 vs bank) it=189 acc=189 [88s]
[E-678 s421] best=72648.80 (+-604.68 vs bank) it=192 acc=192 [89s]
[E-678 s421] best=72653.08 (+-600.40 vs bank) it=193 acc=193 [90s]
[E-678 s421] best=72654.34 (+-599.14 vs bank) it=194 acc=194 [90s]
[E-678 s421] best=72654.95 (+-598.53 vs bank) it=198 acc=198 [92s]
[E-678 s421] it=200 cur=72654.95 best=72654.95 [93s]
[E-678 s421] best=72656.03 (+-597.45 vs bank) it=216 acc=216 [100s]
