[E-756rr] bank 33490.458, 4479 matched. ruin-recreate K∈[400,1000] 5000s seed13
[E-756rr] it3350: cur 33487.559 best 33490.458 (+0.000) T=0.562 acc3230 [163s]
[E-756rr] it3400: cur 33487.190 best 33490.458 (+0.000) T=0.548 acc3273 [165s]
[E-756rr] it3450: cur 33487.559 best 33490.458 (+0.000) T=0.534 acc3322 [168s]
[E-756rr] it3500: cur 33487.190 best 33490.458 (+0.000) T=0.521 acc3371 [170s]
[E-756rr] it3550: cur 33486.566 best 33490.458 (+0.000) T=0.508 acc3419 [172s]
[E-756rr] it3600: cur 33486.927 best 33490.458 (+0.000) T=0.496 acc3464 [174s]
[E-756rr] it3650: cur 33486.698 best 33490.458 (+0.000) T=0.483 acc3513 [177s]
[E-756rr] it3700: cur 33486.698 best 33490.458 (+0.000) T=0.471 acc3560 [179s]
[E-756rr] it3750: cur 33486.927 best 33490.458 (+0.000) T=0.460 acc3606 [182s]
[E-756rr] it3800: cur 33486.927 best 33490.458 (+0.000) T=0.448 acc3652 [184s]
[E-756rr] it3850: cur 33486.927 best 33490.458 (+0.000) T=0.437 acc3700 [187s]
[E-756rr] it3900: cur 33486.838 best 33490.458 (+0.000) T=0.427 acc3747 [189s]
[E-756rr] it3950: cur 33486.927 best 33490.458 (+0.000) T=0.416 acc3788 [191s]
[E-756rr] it4000: cur 33486.927 best 33490.458 (+0.000) T=0.406 acc3831 [194s]
[E-756rr] it4050: cur 33487.067 best 33490.458 (+0.000) T=0.396 acc3879 [196s]
[E-756rr] it4100: cur 33486.927 best 33490.458 (+0.000) T=0.386 acc3926 [198s]
[E-756rr] it4150: cur 33486.296 best 33490.458 (+0.000) T=0.376 acc3973 [201s]
[E-756rr] it4200: cur 33486.296 best 33490.458 (+0.000) T=0.367 acc4016 [203s]
[E-756rr] it4250: cur 33487.157 best 33490.458 (+0.000) T=0.358 acc4061 [206s]
