error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[E-678 s201] best=72983.08 (+-270.40 vs bank) it=80 acc=80 [317s]
[E-678 s201] best=72983.46 (+-270.02 vs bank) it=81 acc=81 [320s]
[E-678 s201] best=72984.58 (+-268.90 vs bank) it=82 acc=82 [326s]
[E-678 s201] best=72989.12 (+-264.36 vs bank) it=83 acc=83 [329s]
[E-678 s201] best=72989.24 (+-264.24 vs bank) it=84 acc=84 [332s]
[E-678 s201] best=72989.86 (+-263.62 vs bank) it=85 acc=85 [335s]
[E-678 s201] best=72990.07 (+-263.41 vs bank) it=88 acc=88 [349s]
[E-678 s201] best=72990.53 (+-262.95 vs bank) it=89 acc=89 [354s]
[E-678 s201] best=72991.03 (+-262.45 vs bank) it=90 acc=90 [357s]
[E-678 s201] best=72993.05 (+-260.43 vs bank) it=91 acc=91 [361s]
[E-678 s201] best=72996.11 (+-257.37 vs bank) it=92 acc=92 [366s]
[E-678 s201] best=72999.65 (+-253.83 vs bank) it=93 acc=93 [370s]
[E-678 s201] best=73000.33 (+-253.15 vs bank) it=94 acc=94 [375s]
[E-678 s201] best=73000.95 (+-252.53 vs bank) it=96 acc=96 [386s]
[E-678 s201] best=73001.65 (+-251.83 vs bank) it=100 acc=100 [402s]
[E-678 s201] it=100 cur=73001.65 best=73001.65 [402s]
[E-678 s201] best=73002.77 (+-250.71 vs bank) it=101 acc=101 [407s]
[E-678 s201] best=73003.18 (+-250.30 vs bank) it=107 acc=107 [432s]
[E-678 s201] best=73004.39 (+-249.09 vs bank) it=108 acc=108 [436s]
[E-678 s201] best=73009.04 (+-244.44 vs bank) it=112 acc=112 [454s]
[E-678 s201] best=73009.53 (+-243.95 vs bank) it=117 acc=117 [478s]
[E-678 s201] best=73010.63 (+-242.85 vs bank) it=119 acc=119 [487s]
[E-678 s201] best=73011.14 (+-242.34 vs bank) it=120 acc=120 [492s]
[E-678 s201] best=73011.53 (+-241.95 vs bank) it=122 acc=122 [499s]
[E-678 s201] best=73013.04 (+-240.44 vs bank) it=125 acc=125 [511s]
[E-678 s201] best=73013.46 (+-240.02 vs bank) it=137 acc=137 [562s]
[E-678 s201] best=73015.05 (+-238.43 vs bank) it=139 acc=139 [574s]
[E-678 s201] best=73015.40 (+-238.08 vs bank) it=141 acc=141 [583s]
