[TDSA-B] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=25.0
[TDSA-B] it3050: cur 2612 best_mk 1512.3d best_strands 22 T=13.7 acc=43 [8316s]
[TDSA-B] it3100: cur 2612 best_mk 1512.3d best_strands 22 T=13.5 acc=43 [8447s]
[TDSA-B] it3150: cur 2612 best_mk 1512.3d best_strands 22 T=13.4 acc=43 [8605s]
[TDSA-B] it3200: cur 2612 best_mk 1512.3d best_strands 22 T=13.3 acc=43 [8733s]
[TDSA-B] it3250: cur 2612 best_mk 1512.3d best_strands 22 T=13.2 acc=43 [8846s]
[TDSA-B] it3300: cur 2612 best_mk 1512.3d best_strands 22 T=13.0 acc=43 [8963s]
[TDSA-B] it3350: cur 2612 best_mk 1512.3d best_strands 22 T=12.9 acc=44 [9089s]
[TDSA-B] it3400: cur 2612 best_mk 1512.3d best_strands 22 T=12.8 acc=44 [9299s]
[TDSA-B] it3450: cur 2612 best_mk 1512.3d best_strands 22 T=12.6 acc=45 [9561s]
[TDSA-B] it3500: cur 2612 best_mk 1512.3d best_strands 22 T=12.5 acc=45 [9831s]
[TDSA-B] it3550: cur 2612 best_mk 1512.3d best_strands 22 T=12.4 acc=45 [10100s]
[TDSA-B] it3600: cur 2612 best_mk 1512.3d best_strands 22 T=12.3 acc=45 [10368s]
[TDSA-B] it3650: cur 2612 best_mk 1512.3d best_strands 22 T=12.1 acc=45 [10620s]
[TDSA-B] it3700: cur 2612 best_mk 1512.3d best_strands 22 T=12.0 acc=45 [10886s]
[TDSA-B] it3750: cur 2612 best_mk 1512.3d best_strands 22 T=11.9 acc=45 [11117s]
[TDSA-B] it3800: cur 2612 best_mk 1512.3d best_strands 22 T=11.8 acc=45 [11264s]
[TDSA-B] it3850: cur 2512 best_mk 1462.3d best_strands 21 T=11.7 acc=48 [11392s]
[TDSA-B] it3900: cur 2512 best_mk 1462.3d best_strands 21 T=11.6 acc=49 [11522s]
[TDSA-B] it3950: cur 2512 best_mk 1462.3d best_strands 21 T=11.4 acc=49 [11654s]
[TDSA-B] it4000: cur 2512 best_mk 1462.3d best_strands 21 T=11.3 acc=49 [11797s]
[TDSA-B] it4050: cur 2512 best_mk 1462.3d best_strands 21 T=11.2 acc=49 [11951s]
[TDSA-B] it4100: cur 2512 best_mk 1462.3d best_strands 21 T=11.1 acc=49 [12084s]
[TDSA-B] it4150: cur 2512 best_mk 1462.3d best_strands 21 T=11.0 acc=49 [12197s]
[TDSA-B] it4200: cur 2512 best_mk 1462.3d best_strands 21 T=10.9 acc=49 [12341s]
[TDSA-B] it4250: cur 2512 best_mk 1462.3d best_strands 21 T=10.8 acc=49 [12492s]
[TDSA-B] it4300: cur 2512 best_mk 1462.3d best_strands 21 T=10.7 acc=49 [12628s]
[TDSA-B] it4350: cur 2512 best_mk 1462.3d best_strands 21 T=10.6 acc=49 [12762s]
[TDSA-B] it4400: cur 2512 best_mk 1462.3d best_strands 21 T=10.5 acc=49 [12929s]
[TDSA-B] it4450: cur 2512 best_mk 1462.3d best_strands 21 T=10.4 acc=51 [13070s]
[TDSA-B] it4500: cur 2512 best_mk 1462.3d best_strands 21 T=10.3 acc=51 [13197s]
[TDSA-B] it4550: cur 2512 best_mk 1462.3d best_strands 21 T=10.2 acc=51 [13354s]
[TDSA-B] it4600: cur 2512 best_mk 1462.3d best_strands 21 T=10.1 acc=51 [13492s]
[TDSA-B] it4650: cur 2512 best_mk 1462.3d best_strands 21 T=10.0 acc=51 [13649s]
[TDSA-B] it4700: cur 2512 best_mk 1462.3d best_strands 21 T=9.9 acc=51 [13792s]
[TDSA-B] it4750: cur 2512 best_mk 1462.3d best_strands 21 T=9.8 acc=51 [13954s]
[TDSA-B] it4800: cur 2512 best_mk 1462.3d best_strands 21 T=9.7 acc=51 [14102s]
[TDSA-B] it4850: cur 2512 best_mk 1462.3d best_strands 21 T=9.6 acc=51 [14222s]
[TDSA-B] it4900: cur 2514 best_mk 1458.6d best_strands 21 T=9.5 acc=53 [14356s]
[TDSA-B] it4950: cur 2511 best_mk 1458.6d best_strands 21 T=9.4 acc=54 [14508s]
[TDSA-B] it5000: cur 2511 best_mk 1458.6d best_strands 21 T=9.3 acc=54 [14625s]
[TDSA-B] it5050: cur 2511 best_mk 1458.6d best_strands 21 T=9.2 acc=54 [14766s]
[TDSA-B] it5100: cur 2511 best_mk 1458.6d best_strands 21 T=9.1 acc=54 [14905s]
[TDSA-B] it5150: cur 2511 best_mk 1458.6d best_strands 21 T=9.0 acc=54 [15031s]
[TDSA-B] it5200: cur 2511 best_mk 1458.6d best_strands 21 T=8.9 acc=54 [15159s]
[TDSA-B] it5250: cur 2511 best_mk 1458.6d best_strands 21 T=8.8 acc=54 [15286s]
[TDSA-B] it5300: cur 2511 best_mk 1458.6d best_strands 21 T=8.8 acc=54 [15411s]
[TDSA-B] it5350: cur 2511 best_mk 1458.6d best_strands 21 T=8.7 acc=54 [15535s]
[TDSA-B] it5400: cur 2511 best_mk 1458.6d best_strands 21 T=8.6 acc=54 [15700s]
[TDSA-B] it5450: cur 2511 best_mk 1458.6d best_strands 21 T=8.5 acc=54 [15809s]
[TDSA-B] it5500: cur 2511 best_mk 1458.6d best_strands 21 T=8.4 acc=54 [15959s]
[TDSA-B] it5550: cur 2511 best_mk 1458.6d best_strands 21 T=8.3 acc=54 [16088s]
[TDSA-B] it5600: cur 2511 best_mk 1458.6d best_strands 21 T=8.3 acc=55 [16229s]
[TDSA-B] it5650: cur 2511 best_mk 1458.6d best_strands 21 T=8.2 acc=55 [16373s]
[TDSA-B] it5700: cur 2511 best_mk 1458.6d best_strands 21 T=8.1 acc=55 [16525s]
[TDSA-B] it5750: cur 2511 best_mk 1458.6d best_strands 21 T=8.0 acc=55 [16648s]
[TDSA-B] it5800: cur 2511 best_mk 1458.6d best_strands 21 T=7.9 acc=55 [16812s]
[TDSA-B] it5850: cur 2511 best_mk 1458.6d best_strands 21 T=7.9 acc=55 [16960s]
[TDSA-B] it5900: cur 2511 best_mk 1458.6d best_strands 21 T=7.8 acc=55 [17106s]
[TDSA-B] it5950: cur 2511 best_mk 1458.6d best_strands 21 T=7.7 acc=55 [17224s]
[TDSA-B] it6000: cur 2511 best_mk 1458.6d best_strands 21 T=7.6 acc=55 [17372s]
[TDSA-B] it6050: cur 2511 best_mk 1458.6d best_strands 21 T=7.6 acc=55 [17514s]
[TDSA-B] it6100: cur 2511 best_mk 1458.6d best_strands 21 T=7.5 acc=55 [17644s]
[TDSA-B] it6150: cur 2511 best_mk 1458.6d best_strands 21 T=7.4 acc=55 [17796s]
[TDSA-B] it6200: cur 2511 best_mk 1458.6d best_strands 21 T=7.3 acc=55 [17943s]
[TDSA-B] it6250: cur 2511 best_mk 1458.6d best_strands 21 T=7.3 acc=56 [18124s]
[TDSA-B] it6300: cur 2511 best_mk 1458.6d best_strands 21 T=7.2 acc=56 [18280s]
