[TDSA-A] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=25.0
[TDSA-A] it3050: cur 2700 best_mk 1549.7d best_strands 23 T=13.7 acc=19 [8528s]
[TDSA-A] it3100: cur 2700 best_mk 1549.7d best_strands 23 T=13.5 acc=19 [8662s]
[TDSA-A] it3150: cur 2700 best_mk 1549.7d best_strands 23 T=13.4 acc=19 [8822s]
[TDSA-A] it3200: cur 2700 best_mk 1549.7d best_strands 23 T=13.3 acc=19 [8969s]
[TDSA-A] it3250: cur 2700 best_mk 1549.7d best_strands 23 T=13.2 acc=19 [9098s]
[TDSA-A] it3300: cur 2700 best_mk 1549.7d best_strands 23 T=13.0 acc=19 [9318s]
[TDSA-A] it3350: cur 2700 best_mk 1549.7d best_strands 23 T=12.9 acc=19 [9590s]
[TDSA-A] it3400: cur 2700 best_mk 1549.7d best_strands 23 T=12.8 acc=19 [9889s]
[TDSA-A] it3450: cur 2707 best_mk 1549.7d best_strands 23 T=12.6 acc=21 [10167s]
[TDSA-A] it3500: cur 2707 best_mk 1549.7d best_strands 23 T=12.5 acc=21 [10445s]
[TDSA-A] it3550: cur 2707 best_mk 1549.7d best_strands 23 T=12.4 acc=21 [10724s]
[TDSA-A] it3600: cur 2707 best_mk 1549.7d best_strands 23 T=12.3 acc=21 [10979s]
[TDSA-A] it3650: cur 2707 best_mk 1549.7d best_strands 23 T=12.1 acc=22 [11137s]
[TDSA-A] it3700: cur 2707 best_mk 1549.7d best_strands 23 T=12.0 acc=22 [11261s]
[TDSA-A] it3750: cur 2707 best_mk 1549.7d best_strands 23 T=11.9 acc=22 [11391s]
[TDSA-A] it3800: cur 2707 best_mk 1549.7d best_strands 23 T=11.8 acc=22 [11516s]
[TDSA-A] it3850: cur 2707 best_mk 1549.7d best_strands 23 T=11.7 acc=22 [11655s]
[TDSA-A] it3900: cur 2707 best_mk 1549.7d best_strands 23 T=11.6 acc=22 [11810s]
[TDSA-A] it3950: cur 2707 best_mk 1549.7d best_strands 23 T=11.4 acc=22 [11945s]
[TDSA-A] it4000: cur 2707 best_mk 1549.7d best_strands 23 T=11.3 acc=22 [12064s]
[TDSA-A] it4050: cur 2707 best_mk 1549.7d best_strands 23 T=11.2 acc=22 [12208s]
[TDSA-A] it4100: cur 2707 best_mk 1549.7d best_strands 23 T=11.1 acc=22 [12345s]
[TDSA-A] it4150: cur 2707 best_mk 1549.7d best_strands 23 T=11.0 acc=22 [12478s]
[TDSA-A] it4200: cur 2707 best_mk 1549.7d best_strands 23 T=10.9 acc=22 [12617s]
[TDSA-A] it4250: cur 2707 best_mk 1549.7d best_strands 23 T=10.8 acc=22 [12782s]
[TDSA-A] it4300: cur 2707 best_mk 1549.7d best_strands 23 T=10.7 acc=22 [12924s]
[TDSA-A] it4350: cur 2707 best_mk 1549.7d best_strands 23 T=10.6 acc=22 [13064s]
[TDSA-A] it4400: cur 2707 best_mk 1549.7d best_strands 23 T=10.5 acc=22 [13234s]
[TDSA-A] it4450: cur 2707 best_mk 1549.7d best_strands 23 T=10.4 acc=23 [13367s]
[TDSA-A] it4500: cur 2707 best_mk 1549.7d best_strands 23 T=10.3 acc=23 [13496s]
[TDSA-A] it4550: cur 2707 best_mk 1549.7d best_strands 23 T=10.2 acc=23 [13610s]
[TDSA-A] it4600: cur 2707 best_mk 1549.7d best_strands 23 T=10.1 acc=23 [13775s]
[TDSA-A] it4650: cur 2707 best_mk 1549.7d best_strands 23 T=10.0 acc=23 [13877s]
[TDSA-A] it4700: cur 2707 best_mk 1549.7d best_strands 23 T=9.9 acc=23 [14008s]
[TDSA-A] it4750: cur 2707 best_mk 1549.7d best_strands 23 T=9.8 acc=23 [14141s]
[TDSA-A] it4800: cur 2707 best_mk 1549.7d best_strands 23 T=9.7 acc=23 [14298s]
[TDSA-A] it4850: cur 2707 best_mk 1549.7d best_strands 23 T=9.6 acc=23 [14450s]
[TDSA-A] it4900: cur 2707 best_mk 1549.7d best_strands 23 T=9.5 acc=23 [14589s]
[TDSA-A] it4950: cur 2707 best_mk 1549.7d best_strands 23 T=9.4 acc=23 [14722s]
[TDSA-A] it5000: cur 2707 best_mk 1549.7d best_strands 23 T=9.3 acc=23 [14888s]
[TDSA-A] it5050: cur 2707 best_mk 1549.7d best_strands 23 T=9.2 acc=23 [15016s]
[TDSA-A] it5100: cur 2707 best_mk 1549.7d best_strands 23 T=9.1 acc=23 [15157s]
[TDSA-A] it5150: cur 2707 best_mk 1549.7d best_strands 23 T=9.0 acc=23 [15277s]
[TDSA-A] it5200: cur 2707 best_mk 1549.7d best_strands 23 T=8.9 acc=24 [15392s]
[TDSA-A] it5250: cur 2707 best_mk 1549.7d best_strands 23 T=8.8 acc=24 [15521s]
[TDSA-A] it5300: cur 2707 best_mk 1549.7d best_strands 23 T=8.8 acc=24 [15666s]
[TDSA-A] it5350: cur 2707 best_mk 1549.7d best_strands 23 T=8.7 acc=24 [15799s]
[TDSA-A] it5400: cur 2707 best_mk 1549.7d best_strands 23 T=8.6 acc=24 [15919s]
[TDSA-A] it5450: cur 2707 best_mk 1549.7d best_strands 23 T=8.5 acc=24 [16057s]
[TDSA-A] it5500: cur 2707 best_mk 1549.7d best_strands 23 T=8.4 acc=24 [16198s]
[TDSA-A] it5550: cur 2707 best_mk 1549.7d best_strands 23 T=8.3 acc=24 [16323s]
[TDSA-A] it5600: cur 2707 best_mk 1549.7d best_strands 23 T=8.3 acc=24 [16443s]
[TDSA-A] it5650: cur 2707 best_mk 1549.7d best_strands 23 T=8.2 acc=24 [16581s]
[TDSA-A] it5700: cur 2707 best_mk 1549.7d best_strands 23 T=8.1 acc=24 [16763s]
[TDSA-A] it5750: cur 2707 best_mk 1549.7d best_strands 23 T=8.0 acc=24 [16929s]
[TDSA-A] it5800: cur 2707 best_mk 1549.7d best_strands 23 T=7.9 acc=24 [17053s]
[TDSA-A] it5850: cur 2707 best_mk 1549.7d best_strands 23 T=7.9 acc=24 [17187s]
[TDSA-A] it5900: cur 2707 best_mk 1549.7d best_strands 23 T=7.8 acc=24 [17320s]
[TDSA-A] it5950: cur 2707 best_mk 1549.7d best_strands 23 T=7.7 acc=24 [17451s]
[TDSA-A] it6000: cur 2707 best_mk 1549.7d best_strands 23 T=7.6 acc=24 [17633s]
[TDSA-A] it6050: cur 2707 best_mk 1549.7d best_strands 23 T=7.6 acc=24 [17760s]
[TDSA-A] it6100: cur 2707 best_mk 1549.7d best_strands 23 T=7.5 acc=24 [17925s]
[TDSA-A] it6150: cur 2707 best_mk 1549.7d best_strands 23 T=7.4 acc=24 [18090s]
[TDSA-A] it6200: cur 2707 best_mk 1549.7d best_strands 23 T=7.3 acc=24 [18250s]
