error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[TDSA-D] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=18.0
[TDSA-D] it2950: cur 2588 best_mk 1485.7d best_strands 22 T=10.1 acc=26 [8805s]
[TDSA-D] it3000: cur 2588 best_mk 1485.7d best_strands 22 T=10.0 acc=26 [9081s]
[TDSA-D] it3050: cur 2588 best_mk 1485.7d best_strands 22 T=9.9 acc=26 [9393s]
[TDSA-D] it3100: cur 2588 best_mk 1485.7d best_strands 22 T=9.8 acc=26 [9673s]
[TDSA-D] it3150: cur 2588 best_mk 1485.7d best_strands 22 T=9.7 acc=26 [9974s]
[TDSA-D] it3200: cur 2588 best_mk 1485.7d best_strands 22 T=9.6 acc=26 [10259s]
[TDSA-D] it3250: cur 2588 best_mk 1485.7d best_strands 22 T=9.5 acc=26 [10577s]
[TDSA-D] it3300: cur 2588 best_mk 1485.7d best_strands 22 T=9.4 acc=26 [10782s]
[TDSA-D] it3350: cur 2588 best_mk 1485.7d best_strands 22 T=9.3 acc=26 [10939s]
[TDSA-D] it3400: cur 2588 best_mk 1485.7d best_strands 22 T=9.2 acc=26 [11086s]
[TDSA-D] it3450: cur 2588 best_mk 1485.7d best_strands 22 T=9.1 acc=26 [11225s]
[TDSA-D] it3500: cur 2588 best_mk 1485.7d best_strands 22 T=9.0 acc=26 [11385s]
[TDSA-D] it3550: cur 2588 best_mk 1485.7d best_strands 22 T=8.9 acc=26 [11531s]
[TDSA-D] it3600: cur 2588 best_mk 1485.7d best_strands 22 T=8.9 acc=26 [11683s]
[TDSA-D] it3650: cur 2588 best_mk 1485.7d best_strands 22 T=8.8 acc=26 [11814s]
[TDSA-D] it3700: cur 2588 best_mk 1485.7d best_strands 22 T=8.7 acc=26 [11968s]
[TDSA-D] it3750: cur 2588 best_mk 1485.7d best_strands 22 T=8.6 acc=27 [12103s]
[TDSA-D] it3800: cur 2588 best_mk 1485.7d best_strands 22 T=8.5 acc=28 [12273s]
[TDSA-D] it3850: cur 2588 best_mk 1485.7d best_strands 22 T=8.4 acc=28 [12445s]
[TDSA-D] it3900: cur 2588 best_mk 1485.7d best_strands 22 T=8.4 acc=28 [12595s]
[TDSA-D] it3950: cur 2588 best_mk 1485.7d best_strands 22 T=8.3 acc=28 [12747s]
[TDSA-D] it4000: cur 2588 best_mk 1485.7d best_strands 22 T=8.2 acc=28 [12878s]
[TDSA-D] it4050: cur 2588 best_mk 1485.7d best_strands 22 T=8.1 acc=28 [13048s]
[TDSA-D] it4100: cur 2588 best_mk 1485.7d best_strands 22 T=8.0 acc=28 [13201s]
[TDSA-D] it4150: cur 2588 best_mk 1485.7d best_strands 22 T=7.9 acc=28 [13349s]
[TDSA-D] it4200: cur 2588 best_mk 1485.7d best_strands 22 T=7.9 acc=28 [13501s]
[TDSA-D] it4250: cur 2588 best_mk 1485.7d best_strands 22 T=7.8 acc=28 [13649s]
[TDSA-D] it4300: cur 2588 best_mk 1485.7d best_strands 22 T=7.7 acc=28 [13769s]
[TDSA-D] it4350: cur 2588 best_mk 1485.7d best_strands 22 T=7.6 acc=28 [13928s]
[TDSA-D] it4400: cur 2588 best_mk 1485.7d best_strands 22 T=7.6 acc=28 [14075s]
[TDSA-D] it4450: cur 2588 best_mk 1485.7d best_strands 22 T=7.5 acc=28 [14263s]
[TDSA-D] it4500: cur 2588 best_mk 1485.7d best_strands 22 T=7.4 acc=28 [14411s]
[TDSA-D] it4550: cur 2588 best_mk 1485.7d best_strands 22 T=7.3 acc=28 [14554s]
[TDSA-D] it4600: cur 2588 best_mk 1485.7d best_strands 22 T=7.3 acc=28 [14699s]
[TDSA-D] it4650: cur 2588 best_mk 1485.7d best_strands 22 T=7.2 acc=28 [14839s]
[TDSA-D] it4700: cur 2588 best_mk 1485.7d best_strands 22 T=7.1 acc=28 [15008s]
[TDSA-D] it4750: cur 2483 best_mk 1433.4d best_strands 21 T=7.1 acc=30 [15170s]
[TDSA-D] it4800: cur 2483 best_mk 1433.4d best_strands 21 T=7.0 acc=30 [15290s]
[TDSA-D] it4850: cur 2483 best_mk 1433.4d best_strands 21 T=6.9 acc=30 [15434s]
[TDSA-D] it4900: cur 2483 best_mk 1433.4d best_strands 21 T=6.9 acc=30 [15552s]
[TDSA-D] it4950: cur 2483 best_mk 1433.4d best_strands 21 T=6.8 acc=30 [15695s]
[TDSA-D] it5000: cur 2483 best_mk 1433.4d best_strands 21 T=6.7 acc=30 [15830s]
[TDSA-D] it5050: cur 2483 best_mk 1433.4d best_strands 21 T=6.7 acc=30 [15968s]
[TDSA-D] it5100: cur 2483 best_mk 1433.4d best_strands 21 T=6.6 acc=30 [16116s]
[TDSA-D] it5150: cur 2483 best_mk 1433.4d best_strands 21 T=6.5 acc=30 [16263s]
[TDSA-D] it5200: cur 2483 best_mk 1433.4d best_strands 21 T=6.5 acc=31 [16455s]
[TDSA-D] it5250: cur 2483 best_mk 1433.4d best_strands 21 T=6.4 acc=31 [16591s]
[TDSA-D] it5300: cur 2483 best_mk 1433.4d best_strands 21 T=6.3 acc=31 [16766s]
[TDSA-D] it5350: cur 2483 best_mk 1433.4d best_strands 21 T=6.3 acc=31 [16898s]
[TDSA-D] it5400: cur 2483 best_mk 1433.4d best_strands 21 T=6.2 acc=31 [17031s]
[TDSA-D] it5450: cur 2483 best_mk 1433.4d best_strands 21 T=6.2 acc=32 [17154s]
[TDSA-D] it5500: cur 2483 best_mk 1433.4d best_strands 21 T=6.1 acc=32 [17296s]
[TDSA-D] it5550: cur 2483 best_mk 1433.4d best_strands 21 T=6.0 acc=32 [17439s]
[TDSA-D] it5600: cur 2483 best_mk 1433.4d best_strands 21 T=6.0 acc=32 [17593s]
[TDSA-D] it5650: cur 2483 best_mk 1433.4d best_strands 21 T=5.9 acc=32 [17770s]
[TDSA-D] it5700: cur 2483 best_mk 1433.4d best_strands 21 T=5.9 acc=32 [17909s]
[TDSA-D] it5750: cur 2490 best_mk 1433.4d best_strands 21 T=5.8 acc=34 [18065s]
[TDSA-D] it5800: cur 2490 best_mk 1433.4d best_strands 21 T=5.7 acc=34 [18200s]
[TDSA-D] it5850: cur 2490 best_mk 1433.4d best_strands 21 T=5.7 acc=34 [18349s]
[TDSA-D] it5900: cur 2490 best_mk 1433.4d best_strands 21 T=5.6 acc=34 [18500s]
[TDSA-D] it5950: cur 2490 best_mk 1433.4d best_strands 21 T=5.6 acc=34 [18644s]
[TDSA-D] it6000: cur 2490 best_mk 1433.4d best_strands 21 T=5.5 acc=34 [18785s]
[TDSA-D] it6050: cur 2490 best_mk 1433.4d best_strands 21 T=5.5 acc=34 [18935s]
[TDSA-D] it6100: cur 2490 best_mk 1433.4d best_strands 21 T=5.4 acc=34 [19075s]
[TDSA-D] it6150: cur 2490 best_mk 1433.4d best_strands 21 T=5.4 acc=34 [19215s]
[TDSA-D] it6200: cur 2490 best_mk 1433.4d best_strands 21 T=5.3 acc=34 [19360s]
[TDSA-D] it6250: cur 2490 best_mk 1433.4d best_strands 21 T=5.3 acc=34 [19534s]
[TDSA-D] it6300: cur 2490 best_mk 1433.4d best_strands 21 T=5.2 acc=34 [19684s]
[TDSA-D] it6350: cur 2490 best_mk 1433.4d best_strands 21 T=5.2 acc=34 [19813s]
[TDSA-D] it6400: cur 2490 best_mk 1433.4d best_strands 21 T=5.1 acc=34 [19967s]
[TDSA-D] it6450: cur 2490 best_mk 1433.4d best_strands 21 T=5.1 acc=34 [20129s]
[TDSA-D] it6500: cur 2490 best_mk 1433.4d best_strands 21 T=5.0 acc=34 [20295s]
[TDSA-D] it6550: cur 2490 best_mk 1433.4d best_strands 21 T=5.0 acc=34 [20445s]
[TDSA-D] it6600: cur 2490 best_mk 1433.4d best_strands 21 T=4.9 acc=34 [20599s]
[TDSA-D] it6650: cur 2490 best_mk 1433.4d best_strands 21 T=4.9 acc=34 [20737s]
[TDSA-D] it6700: cur 2490 best_mk 1433.4d best_strands 21 T=4.8 acc=34 [20886s]
[TDSA-D] it6750: cur 2490 best_mk 1433.4d best_strands 21 T=4.8 acc=34 [21005s]
[TDSA-D] it6800: cur 2490 best_mk 1433.4d best_strands 21 T=4.7 acc=34 [21143s]
[TDSA-D] it6850: cur 2490 best_mk 1433.4d best_strands 21 T=4.7 acc=35 [21279s]
