[TDSA-C] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=25.0
[TDSA-C] it13300: cur 2711 best_mk 1560.9d best_strands 23 T=1.8 acc=65 [34057s]
[TDSA-C] it13350: cur 2711 best_mk 1560.9d best_strands 23 T=1.8 acc=65 [34189s]
[TDSA-C] it13400: cur 2711 best_mk 1560.9d best_strands 23 T=1.8 acc=65 [34319s]
[TDSA-C] it13450: cur 2711 best_mk 1560.9d best_strands 23 T=1.8 acc=65 [34452s]
[TDSA-C] it13500: cur 2711 best_mk 1560.9d best_strands 23 T=1.8 acc=65 [34578s]
[TDSA-C] it13550: cur 2711 best_mk 1560.9d best_strands 23 T=1.8 acc=65 [34733s]
[TDSA-C] it13600: cur 2711 best_mk 1560.9d best_strands 23 T=1.7 acc=65 [34862s]
[TDSA-C] it13650: cur 2711 best_mk 1560.9d best_strands 23 T=1.7 acc=65 [34981s]
[TDSA-C] it13700: cur 2711 best_mk 1560.9d best_strands 23 T=1.7 acc=65 [35116s]
[TDSA-C] it13750: cur 2711 best_mk 1560.9d best_strands 23 T=1.7 acc=65 [35230s]
[TDSA-C] it13800: cur 2711 best_mk 1560.9d best_strands 23 T=1.7 acc=65 [35364s]
[TDSA-C] it13850: cur 2711 best_mk 1560.9d best_strands 23 T=1.7 acc=65 [35479s]
[TDSA-C] it13900: cur 2711 best_mk 1560.9d best_strands 23 T=1.7 acc=65 [35599s]
[TDSA-C] it13950: cur 2711 best_mk 1560.9d best_strands 23 T=1.6 acc=66 [35710s]
[TDSA-C] it14000: cur 2711 best_mk 1560.9d best_strands 23 T=1.6 acc=66 [35831s]
[TDSA-C] it14050: cur 2711 best_mk 1560.9d best_strands 23 T=1.6 acc=66 [35961s]
[TDSA-C] it14100: cur 2711 best_mk 1560.9d best_strands 23 T=1.6 acc=66 [36089s]
[TDSA-C] it14150: cur 2711 best_mk 1560.9d best_strands 23 T=1.6 acc=66 [36213s]
[TDSA-C] it14200: cur 2711 best_mk 1560.9d best_strands 23 T=1.6 acc=66 [36342s]
[TDSA-C] it14250: cur 2711 best_mk 1560.9d best_strands 23 T=1.5 acc=66 [36481s]
[TDSA-C] it14300: cur 2711 best_mk 1560.9d best_strands 23 T=1.5 acc=66 [36624s]
[TDSA-C] it14350: cur 2711 best_mk 1560.9d best_strands 23 T=1.5 acc=66 [36764s]
[TDSA-C] it14400: cur 2711 best_mk 1560.9d best_strands 23 T=1.5 acc=66 [36889s]
[TDSA-C] it14450: cur 2711 best_mk 1560.9d best_strands 23 T=1.5 acc=66 [37005s]
[TDSA-C] it14500: cur 2711 best_mk 1560.9d best_strands 23 T=1.5 acc=66 [37138s]
[TDSA-C] it14550: cur 2711 best_mk 1560.9d best_strands 23 T=1.5 acc=66 [37271s]
[TDSA-C] it14600: cur 2711 best_mk 1560.9d best_strands 23 T=1.4 acc=66 [37393s]
[TDSA-C] it14650: cur 2711 best_mk 1560.9d best_strands 23 T=1.4 acc=66 [37508s]
[TDSA-C] it14700: cur 2711 best_mk 1560.9d best_strands 23 T=1.4 acc=66 [37658s]
[TDSA-C] it14750: cur 2711 best_mk 1560.9d best_strands 23 T=1.4 acc=66 [37790s]
[TDSA-C] it14800: cur 2711 best_mk 1560.9d best_strands 23 T=1.4 acc=66 [37917s]
[TDSA-C] it14850: cur 2711 best_mk 1560.9d best_strands 23 T=1.4 acc=66 [38035s]
