[TDSA-C] seed 601 cities, makespan 2075.3d strands 34; iters=40000 T0=25.0
[TDSA-C] it3050: cur 2812 best_mk 1607.9d best_strands 24 T=13.7 acc=33 [7642s]
[TDSA-C] it3100: cur 2812 best_mk 1607.9d best_strands 24 T=13.5 acc=33 [7767s]
[TDSA-C] it3150: cur 2812 best_mk 1607.9d best_strands 24 T=13.4 acc=33 [7916s]
[TDSA-C] it3200: cur 2812 best_mk 1607.9d best_strands 24 T=13.3 acc=33 [8038s]
[TDSA-C] it3250: cur 2812 best_mk 1607.9d best_strands 24 T=13.2 acc=33 [8161s]
[TDSA-C] it3300: cur 2812 best_mk 1607.9d best_strands 24 T=13.0 acc=33 [8297s]
[TDSA-C] it3350: cur 2812 best_mk 1607.9d best_strands 24 T=12.9 acc=33 [8395s]
[TDSA-C] it3400: cur 2812 best_mk 1607.9d best_strands 24 T=12.8 acc=33 [8531s]
[TDSA-C] it3450: cur 2812 best_mk 1607.9d best_strands 24 T=12.6 acc=34 [8661s]
[TDSA-C] it3500: cur 2812 best_mk 1607.9d best_strands 24 T=12.5 acc=34 [8770s]
[TDSA-C] it3550: cur 2812 best_mk 1607.9d best_strands 24 T=12.4 acc=34 [8924s]
[TDSA-C] it3600: cur 2812 best_mk 1607.9d best_strands 24 T=12.3 acc=34 [9057s]
[TDSA-C] it3650: cur 2812 best_mk 1607.9d best_strands 24 T=12.1 acc=34 [9183s]
[TDSA-C] it3700: cur 2812 best_mk 1607.9d best_strands 24 T=12.0 acc=34 [9373s]
[TDSA-C] it3750: cur 2812 best_mk 1607.9d best_strands 24 T=11.9 acc=34 [9581s]
[TDSA-C] it3800: cur 2812 best_mk 1607.9d best_strands 24 T=11.8 acc=34 [9810s]
[TDSA-C] it3850: cur 2812 best_mk 1607.9d best_strands 24 T=11.7 acc=34 [9978s]
[TDSA-C] it3900: cur 2812 best_mk 1607.9d best_strands 24 T=11.6 acc=34 [10199s]
[TDSA-C] it3950: cur 2812 best_mk 1607.9d best_strands 24 T=11.4 acc=34 [10414s]
[TDSA-C] it4000: cur 2812 best_mk 1607.9d best_strands 24 T=11.3 acc=34 [10635s]
[TDSA-C] it4050: cur 2812 best_mk 1607.9d best_strands 24 T=11.2 acc=34 [10843s]
[TDSA-C] it4100: cur 2812 best_mk 1607.9d best_strands 24 T=11.1 acc=35 [11087s]
[TDSA-C] it4150: cur 2812 best_mk 1607.9d best_strands 24 T=11.0 acc=36 [11206s]
[TDSA-C] it4200: cur 2812 best_mk 1607.9d best_strands 24 T=10.9 acc=36 [11352s]
[TDSA-C] it4250: cur 2812 best_mk 1607.9d best_strands 24 T=10.8 acc=36 [11466s]
[TDSA-C] it4300: cur 2812 best_mk 1607.9d best_strands 24 T=10.7 acc=36 [11594s]
[TDSA-C] it4350: cur 2812 best_mk 1607.9d best_strands 24 T=10.6 acc=37 [11741s]
[TDSA-C] it4400: cur 2812 best_mk 1607.9d best_strands 24 T=10.5 acc=37 [11890s]
[TDSA-C] it4450: cur 2812 best_mk 1607.9d best_strands 24 T=10.4 acc=37 [11997s]
[TDSA-C] it4500: cur 2812 best_mk 1607.9d best_strands 24 T=10.3 acc=38 [12121s]
[TDSA-C] it4550: cur 2812 best_mk 1607.9d best_strands 24 T=10.2 acc=40 [12230s]
[TDSA-C] it4600: cur 2812 best_mk 1607.9d best_strands 24 T=10.1 acc=40 [12353s]
[TDSA-C] it4650: cur 2812 best_mk 1607.9d best_strands 24 T=10.0 acc=40 [12468s]
[TDSA-C] it4700: cur 2812 best_mk 1607.9d best_strands 24 T=9.9 acc=40 [12590s]
[TDSA-C] it4750: cur 2812 best_mk 1607.9d best_strands 24 T=9.8 acc=40 [12722s]
