[TDSA-E] seed 601 cities, makespan 11686.8d strands 217; iters=40000 T0=40.0
[TDSA-E] it3050: cur 14825 best_mk 7925.2d best_strands 138 T=21.8 acc=203 [6630s]
[TDSA-E] it3100: cur 14714 best_mk 7863.7d best_strands 137 T=21.6 acc=216 [6734s]
[TDSA-E] it3150: cur 14524 best_mk 7773.5d best_strands 135 T=21.4 acc=225 [6827s]
[TDSA-E] it3200: cur 13333 best_mk 7183.0d best_strands 123 T=21.2 acc=243 [6938s]
[TDSA-E] it3250: cur 13151 best_mk 7097.3d best_strands 121 T=21.0 acc=251 [7047s]
[TDSA-E] it3300: cur 12650 best_mk 6850.4d best_strands 116 T=20.8 acc=269 [7150s]
[TDSA-E] it3350: cur 12464 best_mk 6764.2d best_strands 114 T=20.6 acc=281 [7253s]
[TDSA-E] it3400: cur 12362 best_mk 6708.4d best_strands 113 T=20.4 acc=289 [7362s]
[TDSA-E] it3450: cur 11761 best_mk 6410.7d best_strands 107 T=20.2 acc=309 [7472s]
[TDSA-E] it3500: cur 11454 best_mk 6254.0d best_strands 104 T=20.0 acc=315 [7585s]
[TDSA-E] it3550: cur 10968 best_mk 6018.3d best_strands 99 T=19.8 acc=327 [7691s]
[TDSA-E] it3600: cur 10679 best_mk 5878.7d best_strands 96 T=19.6 acc=334 [7800s]
[TDSA-E] it3650: cur 10580 best_mk 5829.8d best_strands 95 T=19.4 acc=338 [7905s]
[TDSA-E] it3700: cur 10188 best_mk 5638.1d best_strands 91 T=19.2 acc=343 [8022s]
[TDSA-E] it3750: cur 10196 best_mk 5637.9d best_strands 91 T=19.0 acc=349 [8129s]
[TDSA-E] it3800: cur 10196 best_mk 5637.9d best_strands 91 T=18.8 acc=349 [8245s]
[TDSA-E] it3850: cur 10191 best_mk 5637.9d best_strands 91 T=18.6 acc=351 [8352s]
[TDSA-E] it3900: cur 10184 best_mk 5632.8d best_strands 91 T=18.4 acc=360 [8459s]
[TDSA-E] it3950: cur 10177 best_mk 5627.1d best_strands 91 T=18.3 acc=367 [8565s]
[TDSA-E] it4000: cur 10188 best_mk 5627.1d best_strands 91 T=18.1 acc=377 [8670s]
[TDSA-E] it4050: cur 9901 best_mk 5501.0d best_strands 88 T=17.9 acc=386 [8782s]
[TDSA-E] it4100: cur 9598 best_mk 5348.0d best_strands 85 T=17.7 acc=393 [8897s]
[TDSA-E] it4150: cur 9587 best_mk 5336.7d best_strands 85 T=17.5 acc=396 [8993s]
[TDSA-E] it4200: cur 9404 best_mk 5253.7d best_strands 83 T=17.4 acc=410 [9100s]
[TDSA-E] it4250: cur 9404 best_mk 5253.7d best_strands 83 T=17.2 acc=415 [9197s]
[TDSA-E] it4300: cur 9407 best_mk 5253.7d best_strands 83 T=17.0 acc=419 [9301s]
[TDSA-E] it4350: cur 9310 best_mk 5210.4d best_strands 82 T=16.9 acc=424 [9402s]
[TDSA-E] it4400: cur 9109 best_mk 5108.6d best_strands 80 T=16.7 acc=432 [9496s]
[TDSA-E] it4450: cur 9110 best_mk 5107.2d best_strands 80 T=16.5 acc=437 [9599s]
[TDSA-E] it4500: cur 8997 best_mk 5046.6d best_strands 79 T=16.4 acc=441 [9699s]
[TDSA-E] it4550: cur 8897 best_mk 4996.7d best_strands 78 T=16.2 acc=442 [9804s]
[TDSA-E] it4600: cur 8731 best_mk 4931.2d best_strands 76 T=16.0 acc=446 [9908s]
[TDSA-E] it4650: cur 8541 best_mk 4840.6d best_strands 74 T=15.9 acc=447 [10017s]
[TDSA-E] it4700: cur 8541 best_mk 4840.6d best_strands 74 T=15.7 acc=452 [10136s]
[TDSA-E] it4750: cur 8539 best_mk 4839.4d best_strands 74 T=15.6 acc=454 [10255s]
[TDSA-E] it4800: cur 8539 best_mk 4839.4d best_strands 74 T=15.4 acc=456 [10373s]
[TDSA-E] it4850: cur 8540 best_mk 4839.4d best_strands 74 T=15.3 acc=457 [10489s]
[TDSA-E] it4900: cur 8430 best_mk 4779.6d best_strands 73 T=15.1 acc=468 [10600s]
[TDSA-E] it4950: cur 8345 best_mk 4727.8d best_strands 72 T=15.0 acc=474 [10708s]
[TDSA-E] it5000: cur 8323 best_mk 4722.8d best_strands 72 T=14.8 acc=482 [10811s]
[TDSA-E] it5050: cur 8322 best_mk 4722.0d best_strands 72 T=14.7 acc=490 [10909s]
[TDSA-E] it5100: cur 8323 best_mk 4719.1d best_strands 72 T=14.5 acc=499 [11020s]
[TDSA-E] it5150: cur 8321 best_mk 4715.5d best_strands 72 T=14.4 acc=504 [11125s]
[TDSA-E] it5200: cur 8319 best_mk 4715.5d best_strands 72 T=14.2 acc=507 [11241s]
[TDSA-E] it5250: cur 8245 best_mk 4687.3d best_strands 71 T=14.1 acc=517 [11351s]
[TDSA-E] it5300: cur 8245 best_mk 4687.3d best_strands 71 T=14.0 acc=520 [11468s]
[TDSA-E] it5350: cur 8236 best_mk 4681.7d best_strands 71 T=13.8 acc=525 [11577s]
[TDSA-E] it5400: cur 8236 best_mk 4681.7d best_strands 71 T=13.7 acc=525 [11674s]
[TDSA-E] it5450: cur 8235 best_mk 4681.7d best_strands 71 T=13.5 acc=527 [11780s]
[TDSA-E] it5500: cur 8125 best_mk 4624.6d best_strands 70 T=13.4 acc=532 [11883s]
[TDSA-E] it5550: cur 8125 best_mk 4624.6d best_strands 70 T=13.3 acc=532 [11983s]
[TDSA-E] it5600: cur 8129 best_mk 4624.6d best_strands 70 T=13.1 acc=538 [12081s]
[TDSA-E] it5650: cur 8129 best_mk 4624.6d best_strands 70 T=13.0 acc=540 [12183s]
[TDSA-E] it5700: cur 8129 best_mk 4624.6d best_strands 70 T=12.9 acc=545 [12285s]
[TDSA-E] it5750: cur 8127 best_mk 4624.6d best_strands 70 T=12.8 acc=547 [12381s]
[TDSA-E] it5800: cur 8010 best_mk 4560.1d best_strands 69 T=12.6 acc=558 [12478s]
[TDSA-E] it5850: cur 7510 best_mk 4310.4d best_strands 64 T=12.5 acc=573 [12574s]
[TDSA-E] it5900: cur 7417 best_mk 4257.3d best_strands 63 T=12.4 acc=581 [12686s]
[TDSA-E] it5950: cur 7316 best_mk 4216.0d best_strands 62 T=12.3 acc=593 [12787s]
[TDSA-E] it6000: cur 7022 best_mk 4071.0d best_strands 59 T=12.1 acc=599 [12890s]
[TDSA-E] it6050: cur 6534 best_mk 3834.0d best_strands 54 T=12.0 acc=613 [12991s]
[TDSA-E] it6100: cur 6223 best_mk 3673.1d best_strands 51 T=11.9 acc=624 [13092s]
[TDSA-E] it6150: cur 6132 best_mk 3625.2d best_strands 50 T=11.8 acc=633 [13195s]
[TDSA-E] it6200: cur 6035 best_mk 3585.0d best_strands 49 T=11.7 acc=638 [13299s]
[TDSA-E] it6250: cur 6035 best_mk 3585.0d best_strands 49 T=11.6 acc=640 [13394s]
[TDSA-E] it6300: cur 6033 best_mk 3581.2d best_strands 49 T=11.4 acc=643 [13494s]
[TDSA-E] it6350: cur 6032 best_mk 3581.2d best_strands 49 T=11.3 acc=645 [13591s]
