E-508: bank_mk=142.9183, target=R1=101.65
Bank perm fast walk: mk=162.2333333492279 ok=True
  [s=6 it=321795 t=420s T=0.50] cur=153.23 best=152.99 walks=316830 feas=11077 acc=3792 (754/s)
  [s=7 it=326862 t=420s T=0.50] cur=153.23 best=151.75 walks=321842 feas=10474 acc=4677 (766/s)
  [s=1 it=389290 t=480s T=0.50] cur=157.07 best=151.75 walks=383337 feas=11918 acc=5212 (798/s)
  [s=4 it=370572 t=480s T=0.87] cur=156.73 best=152.99 walks=364826 feas=11903 acc=5389 (760/s)
  [s=0 it=370377 t=480s T=0.50] cur=152.99 best=152.99 walks=364584 feas=12795 acc=4216 (759/s)
  [s=2 it=371619 t=480s T=0.50] cur=152.99 best=152.99 walks=366013 feas=12741 acc=4312 (762/s)
  [s=3 it=372748 t=480s T=2.69] cur=164.57 best=152.99 walks=366934 feas=12803 acc=4713 (764/s)
  [s=6 it=368135 t=480s T=4.34] cur=174.51 best=152.99 walks=362467 feas=12726 acc=4338 (755/s)
  [s=5 it=388694 t=480s T=0.50] cur=152.57 best=151.75 walks=382658 feas=12656 acc=4915 (797/s)
  [s=7 it=372300 t=480s T=0.50] cur=153.23 best=151.75 walks=366627 feas=12113 acc=5052 (763/s)
  [s=1 it=435797 t=540s T=3.52] cur=159.49 best=151.75 walks=429161 feas=13509 acc=6181 (794/s)
  [s=4 it=418732 t=540s T=0.50] cur=157.17 best=152.99 walks=412221 feas=13523 acc=5976 (763/s)
  [s=0 it=416754 t=540s T=0.50] cur=152.99 best=152.99 walks=410249 feas=14477 acc=4549 (759/s)
  [s=2 it=417182 t=540s T=0.50] cur=154.15 best=152.99 walks=410920 feas=14333 acc=4771 (761/s)
  [s=3 it=419429 t=540s T=1.17] cur=157.75 best=152.99 walks=412914 feas=14471 acc=5417 (764/s)
  [s=5 it=438075 t=540s T=0.50] cur=152.17 best=151.75 walks=431246 feas=14267 acc=5328 (798/s)
  [s=6 it=416260 t=540s T=2.03] cur=159.57 best=152.99 walks=409826 feas=14243 acc=5264 (758/s)
  [s=7 it=417867 t=540s T=0.50] cur=153.57 best=151.75 walks=411569 feas=13614 acc=5467 (762/s)
